"Volgnummer","id_geo","Plaats","Straat","Huisnummer","Toevoeging","Kad. gemeente","Kad. sectie","Kadastraal perceelnr.","Bram","dubbel_bram","geometry","geopackage","dubbel_geo"
"66051","54265","Andijk","Buttervin","75",NULL,"Andijk","K","2232","JA",False,"0101000020E61000004A2A71170ADD14408F486D59675F4A40","JA",False
"66052","54266","Andijk","Buttervin","77",NULL,"Andijk","K","2231","JA",False,"0101000020E6100000C88DD679F6DC1440370D2E12675F4A40","JA",False
"66053","54267","Andijk","Buttervin","79",NULL,"Andijk","K","2230","JA",False,"0101000020E61000000D9B1516E4DC1440F7D0EECA665F4A40","JA",False
"66054","54268","Andijk","Buttervin","81",NULL,"Andijk","K","2229","JA",False,"0101000020E610000070D36715D1DC1440E2F40F60665F4A40","JA",False
"66055","54269","Andijk","Buttervin","83",NULL,"Andijk","K","2228","JA",False,"0101000020E610000044763063BEDC144094E60007665F4A40","JA",False
"66056","54270","Andijk","Buttervin","85",NULL,"Andijk","K","2227","JA",False,"0101000020E61000006E585C9CACDC1440EBA6C1BF655F4A40","JA",False
"66057","54271","Andijk","Buttervin","87",NULL,"Andijk","K","2226","JA",False,"0101000020E61000005B680E8B96DC144074E50249655F4A40","JA",False
"66058","54272","Andijk","Buttervin","2",NULL,"Andijk","K","3052","JA",False,"0101000020E61000008DBCA43AD3DC1440D2E3D2AB795F4A40","JA",False
"66059","54273","Andijk","Buttervin","4",NULL,"Andijk","K","3052","JA",False,"0101000020E610000015D5925CECDC1440130B712E7A5F4A40","JA",False
"66060","54274","Andijk","Buttervin","6",NULL,"Andijk","K","3052","JA",False,"0101000020E610000043F0F3D001DD1440A85A2FA57A5F4A40","JA",False
"66061","54275","Andijk","Buttervin","8",NULL,"Andijk","K","3052","JA",False,"0101000020E61000003AB52E7F18DD14406A50AD337B5F4A40","JA",False
"66062","54276","Andijk","Buttervin","10",NULL,"Andijk","K","3052","JA",False,"0101000020E6100000A5A2093E32DD1440ED49EC7A7B5F4A40","JA",False
"66063","54277","Andijk","Buttervin","12",NULL,"Andijk","K","3052","JA",False,"0101000020E6100000EFE87D1547DD144087EAEAD97B5F4A40","JA",False
"66064","54278","Andijk","Buttervin","18",NULL,"Andijk","K","2969","JA",False,"0101000020E6100000A0A0792770DD144058C68B9E7B5F4A40","JA",False
"66065","54279","Andijk","Buttervin","20",NULL,"Andijk","K","2969","JA",False,"0101000020E610000025FB3D8786DD144084583BBC7B5F4A40","JA",False
"66066","54280","Andijk","Buttervin","22",NULL,"Andijk","K","2969","JA",False,"0101000020E6100000C3C2EB8799DD1440BBB5092D7C5F4A40","JA",False
"66067","54281","Andijk","Buttervin","24",NULL,"Andijk","K","2969","JA",False,"0101000020E6100000455F8625ADDD1440B17F28807C5F4A40","JA",False
"66068","54282","Andijk","Buttervin","26",NULL,"Andijk","K","2969","JA",False,"0101000020E61000008DE7D03ABFDD1440F1D8F6F07C5F4A40","JA",False
"66069","54283","Andijk","Buttervin","28",NULL,"Andijk","K","2969","JA",False,"0101000020E6100000F6168237D6DD1440C5CC35387D5F4A40","JA",False
"66070","54284","Andijk","Buttervin","30",NULL,"Andijk","K","2969","JA",False,"0101000020E610000077F5F212E7DD1440C092548B7D5F4A40","JA",False
"66071","54285","Andijk","Buttervin","32",NULL,"Andijk","K","2969","JA",False,"0101000020E6100000A2522AC5F9DD14404848B2257E5F4A40","JA",False
"66072","54286","Andijk","Buttervin","34",NULL,"Andijk","K","2969","JA",False,"0101000020E6100000959B11EF0ADE144056C051497E5F4A40","JA",False
"66073","54287","Andijk","Buttervin","36",NULL,"Andijk","K","2704","JA",False,"0101000020E61000002827B29253DE1440C9A21E197F5F4A40","JA",False
"66074","54288","Andijk","Buttervin","38",NULL,"Andijk","K","2703","JA",False,"0101000020E610000049CE187A58DE14405646D55B7D5F4A40","JA",False
"66075","54289","Andijk","Buttervin","40",NULL,"Andijk","K","2702","JA",False,"0101000020E61000009D4F52A356DE1440500D32E7795F4A40","JA",False
"66076","54290","Andijk","Buttervin","42",NULL,"Andijk","K","2701","JA",False,"0101000020E610000069757F615DDE14405C89575F785F4A40","JA",False
"66077","54291","Andijk","Buttervin","44",NULL,"Andijk","K","2700","JA",False,"0101000020E6100000E21973F665DE144023A8022C755F4A40","JA",False
"66078","54292","Andijk","Buttervin","46",NULL,"Andijk","K","2699","JA",False,"0101000020E610000022AA16036DDE14404494991B735F4A40","JA",False
"66079","54293","Andijk","Buttervin","48",NULL,"Andijk","K","3050","JA",False,"0101000020E61000004A977355F3DD1440A37C57C56E5F4A40","JA",False
"66080","54294","Andijk","Buttervin","50",NULL,"Andijk","K","3050","JA",False,"0101000020E6100000D56ED344F0DD1440AEF87235705F4A40","JA",False
"66081","54295","Andijk","Buttervin","52",NULL,"Andijk","K","3050","JA",False,"0101000020E6100000999C59FAEBDD1440F7356EB1715F4A40","JA",False
"66082","54296","Andijk","Buttervin","54",NULL,"Andijk","K","3050","JA",False,"0101000020E6100000058B7CC4E6DD1440A8CFF856735F4A40","JA",False
"66083","54297","Andijk","Buttervin","56",NULL,"Andijk","K","3050","JA",False,"0101000020E610000054906269DFDD1440CD4E54AF745F4A40","JA",False
"66084","54298","Andijk","Buttervin","58",NULL,"Andijk","K","3050","JA",False,"0101000020E6100000FC92D5BBDBDD14401CEC0E43765F4A40","JA",False
"66085","54299","Andijk","Buttervin","60",NULL,"Andijk","K","3050","JA",False,"0101000020E610000086AC0BE9D5DD1440C5668A8F775F4A40","JA",False
"66086","54300","Andijk","Buttervin","62",NULL,"Andijk","K","3051","JA",False,"0101000020E6100000A7E5278710DD1440580AF0EF755F4A40","JA",False
"66087","54301","Andijk","Buttervin","64",NULL,"Andijk","K","3051","JA",False,"0101000020E610000000E3B43414DD1440113F1568745F4A40","JA",False
"66088","54302","Andijk","Buttervin","66",NULL,"Andijk","K","3051","JA",False,"0101000020E61000005A9E6BA41ADD144085BBB90F735F4A40","JA",False
"66089","54303","Andijk","Buttervin","68",NULL,"Andijk","K","3051","JA",False,"0101000020E61000007D03FC4D22DD144051A9CE8D715F4A40","JA",False
"66090","54304","Andijk","Buttervin","70",NULL,"Andijk","K","3051","JA",False,"0101000020E6100000EF6D729C22DD144014ED43E86F5F4A40","JA",False
"66091","54305","Andijk","Buttervin","72",NULL,"Andijk","K","3051","JA",False,"0101000020E6100000F6A7EFE22ADD1440CD34F8896E5F4A40","JA",False
"66092","54306","Andijk","Hofkesland","29",NULL,"Andijk","K","3144","JA",False,"0101000020E610000045C5C7D015DC1440BC5412808D5F4A40","JA",False
"66093","54307","Andijk","Hofkesland","31",NULL,"Andijk","K","3145","JA",False,"0101000020E6100000DA94CEC81DDC144015407B818B5F4A40","JA",False
"66094","54308","Andijk","Hofkesland","33",NULL,"Andijk","K","3146","JA",False,"0101000020E61000006E64D5C025DC1440FF2F8889885F4A40","JA",False
"66095","54309","Andijk","Hofkesland","35",NULL,"Andijk","K","3147","JA",False,"0101000020E6100000AB364F0B2ADC144009A7F08A865F4A40","JA",False
"66096","54310","Andijk","Klamptweid","31",NULL,"Andijk","K","2242","JA",False,"0101000020E610000045FC6CF57ADC144097E929B3775F4A40","JA",False
"66097","54311","Andijk","Klamptweid","33",NULL,"Andijk","K","2242","JA",False,"0101000020E6100000BBE236C880DC14401EC3EE4E765F4A40","JA",False
"66098","54312","Andijk","Klamptweid","35",NULL,"Andijk","K","2242","JA",False,"0101000020E6100000A43377E986DC144054D6F3D2745F4A40","JA",False
